profile	scene_id	frames	path
scene_02b33dfb_sam2_pi3x	02b33dfb-be2b-2d54-92d2-cd012b2b3c40	143	configs/workflows/scene_profiles/scene_02b33dfb_sam2_pi3x.json
scene_02b33e01_sam2_pi3x	02b33e01-be2b-2d54-93fb-4145a709cec5	175	configs/workflows/scene_profiles/scene_02b33e01_sam2_pi3x.json
scene_095821f7_sam2_pi3x	095821f7-e2c2-2de1-9568-b9ce59920e29	203	configs/workflows/scene_profiles/scene_095821f7_sam2_pi3x.json
scene_0958220d_sam2_pi3x	0958220d-e2c2-2de1-9710-c37018da1883	192	configs/workflows/scene_profiles/scene_0958220d_sam2_pi3x.json
scene_09582212_sam2_pi3x	09582212-e2c2-2de1-9700-fa44b14fbded	157	configs/workflows/scene_profiles/scene_09582212_sam2_pi3x.json
scene_09582225_sam2_pi3x	09582225-e2c2-2de1-9564-f6681ef5e511	162	configs/workflows/scene_profiles/scene_09582225_sam2_pi3x.json
scene_09582244_sam2_pi3x	09582244-e2c2-2de1-956c-357092d949d1	233	configs/workflows/scene_profiles/scene_09582244_sam2_pi3x.json
scene_0958224e_sam2_pi3x	0958224e-e2c2-2de1-943b-38e36345e2e7	182	configs/workflows/scene_profiles/scene_0958224e_sam2_pi3x.json
scene_0ad2d386_sam2_pi3x	0ad2d386-79e2-2212-9b40-43d081db442a	107	configs/workflows/scene_profiles/scene_0ad2d386_sam2_pi3x.json
scene_0ad2d399_sam2_pi3x	0ad2d399-79e2-2212-99cf-7a3512734bd7	285	configs/workflows/scene_profiles/scene_0ad2d399_sam2_pi3x.json
scene_0ad2d39b_sam2_pi3x	0ad2d39b-79e2-2212-99ae-830c292cd079	157	configs/workflows/scene_profiles/scene_0ad2d39b_sam2_pi3x.json
scene_0ad2d3a3_sam2_pi3x	0ad2d3a3-79e2-2212-9a51-9094be707ec2	99	configs/workflows/scene_profiles/scene_0ad2d3a3_sam2_pi3x.json
scene_0cac7536_sam2_pi3x	0cac7536-8d6f-2d13-8dc2-2f9d7aa62dc4	218	configs/workflows/scene_profiles/scene_0cac7536_sam2_pi3x.json
scene_0cac753c_sam2_pi3x	0cac753c-8d6f-2d13-8e27-e0664fc33bb9	234	configs/workflows/scene_profiles/scene_0cac753c_sam2_pi3x.json
scene_0cac7540_sam2_pi3x	0cac7540-8d6f-2d13-8eee-36ba2a428e3f	299	configs/workflows/scene_profiles/scene_0cac7540_sam2_pi3x.json
scene_0cac7549_sam2_pi3x	0cac7549-8d6f-2d13-8d56-b895956f571a	202	configs/workflows/scene_profiles/scene_0cac7549_sam2_pi3x.json
scene_0cac755e_sam2_pi3x	0cac755e-8d6f-2d13-8c6a-c0979ca34a4f	256	configs/workflows/scene_profiles/scene_0cac755e_sam2_pi3x.json
scene_0cac7574_sam2_pi3x	0cac7574-8d6f-2d13-8db6-4304f437e6d5	234	configs/workflows/scene_profiles/scene_0cac7574_sam2_pi3x.json
