rank	scene_id	frames	raw_frames	source
1	scene0636_00	115	115	metadata_capped
2	scene0333_00	119	119	metadata_capped
3	scene0150_02	130	130	metadata_capped
4	scene0161_02	175	175	metadata_capped
5	scene0258_00	188	188	metadata_capped
6	scene0161_01	191	191	metadata_capped
7	scene0444_01	201	201	metadata_capped
8	scene0143_00	240	240	metadata_capped
9	scene0161_00	245	245	metadata_capped
10	scene0183_00	271	271	metadata_capped
11	scene0013_01	289	289	metadata_capped
12	scene0081_00	295	295	metadata_capped
13	scene0432_01	300	306	metadata_capped
14	scene0230_00	300	321	metadata_capped
15	scene0150_01	300	374	metadata_capped
16	scene0532_01	300	393	metadata_capped
17	scene0485_00	300	397	metadata_capped
18	scene0570_02	300	398	metadata_capped
19	scene0437_01	300	404	metadata_capped
20	scene0443_00	300	417	metadata_capped
21	scene0444_00	300	418	metadata_capped
22	scene0546_00	300	423	metadata_capped
23	scene0160_04	300	429	metadata_capped
24	scene0239_02	300	429	metadata_capped
25	scene0150_00	300	430	metadata_capped
26	scene0543_01	300	432	metadata_capped
27	scene0259_01	300	433	metadata_capped
28	scene0120_01	300	437	metadata_capped
29	scene0620_01	300	437	metadata_capped
30	scene0318_00	300	440	metadata_capped
31	scene0338_02	300	449	metadata_capped
32	scene0559_01	300	449	metadata_capped
33	scene0526_01	300	457	metadata_capped
34	scene0079_01	300	462	metadata_capped
35	scene0470_01	300	469	metadata_capped
36	scene0392_02	300	470	metadata_capped
37	scene0526_00	300	471	metadata_capped
38	scene0381_00	300	475	metadata_capped
39	scene0381_02	300	485	metadata_capped
40	scene0632_00	300	487	metadata_capped
41	scene0118_02	300	496	metadata_capped
42	scene0376_02	300	498	metadata_capped
43	scene0638_00	300	502	metadata_capped
44	scene0511_01	300	506	metadata_capped
45	scene0587_01	300	506	metadata_capped
46	scene0512_00	300	515	metadata_capped
47	scene0346_01	300	519	metadata_capped
48	scene0432_00	300	519	metadata_capped
49	scene0461_00	300	520	metadata_capped
50	scene0090_00	300	534	metadata_capped
51	scene0237_00	300	534	metadata_capped
