rank	scene_id	frames	raw_frames	source	test_score	acc_mean_m	compl_mean_m	f1_005m
1	scene0432_01	300	306	metadata_capped	99.613245510	1.882646322	0.018899558	0.415533766
2	scene0161_02	175	175	metadata_capped	72.954333165	1.204854250	0.016515184	0.517356487
3	scene0161_01	191	191	metadata_capped	46.645743966	0.762197912	0.016340138	0.423059662
4	scene0161_00	245	245	metadata_capped	45.159001523	0.853538334	0.018900735	0.376350145
5	scene0013_01	289	289	metadata_capped	44.841085140	1.447833300	0.032288097	0.223206961
6	scene0150_02	130	130	metadata_capped	41.590408419	1.357658386	0.032643545	0.296019447
7	scene0485_00	300	397	metadata_capped	34.593649570	0.748625100	0.021640535	0.621204790
8	scene0150_01	300	374	metadata_capped	20.106763014	0.596591592	0.029671190	0.281059422
9	scene0160_04	300	429	metadata_capped	11.787865101	0.346649528	0.029407321	0.617207672
10	scene0183_00	271	271	metadata_capped	11.724497658	0.349925727	0.029845690	0.395703523
