accuracy_mean_m,accuracy_median_m,accuracy_p95_m,alignment_mode,alignment_scale,alignment_translation_norm_m,chamfer_l1_mean_m,completeness_mean_m,completeness_median_m,completeness_p95_m,fscore_at_0.050m,gt_points_scope,method_name,metrics_path,precision_at_0.050m,pred_points_eval,recall_at_0.050m,report_threshold_m,rgbd_correspondences_raw,rgbd_fit_residual_median_m,rgbd_fit_residual_p95_m,rgbd_frames_used,scene_id,scope
0.1676730066537857,0.11564898490905762,0.5043829321861265,rgbd_correspondence,0.9574844778735024,0.2735050298588321,0.29336869716644287,0.12569567561149597,0.06758245080709457,0.46747708320617676,0.2861384059970637,391861,scene_02b33dfb_sam2_pi3x,evaluation/outputs/geometry/pi3x_sequence_under300/scene_02b33dfb_sam2_pi3x/02b33dfb-be2b-2d54-92d2-cd012b2b3c40/metrics.json,0.22193320516054946,114949,0.40261470266242366,0.05,91769,0.27726077885148914,1.8256731382640163,34,02b33dfb-be2b-2d54-92d2-cd012b2b3c40,visible_gt
0.24911727011203766,0.11356271803379059,0.9264631509780874,rgbd_correspondence,0.9149270417612851,0.30978565435723854,0.5364676713943481,0.2873503863811493,0.08027549088001251,1.5265957713127127,0.301396839549418,396507,scene_02b33e01_sam2_pi3x,evaluation/outputs/geometry/pi3x_sequence_under300/scene_02b33e01_sam2_pi3x/02b33e01-be2b-2d54-93fb-4145a709cec5/metrics.json,0.2482667340931297,320349,0.38345855180362515,0.05,110126,0.33373517912430717,1.8711572201416746,42,02b33e01-be2b-2d54-93fb-4145a709cec5,visible_gt
0.16248954832553864,0.08259596675634384,0.5703297078609462,rgbd_correspondence,0.7700139553915295,0.05362416005131548,0.2251719832420349,0.06268244236707687,0.030295342206954956,0.21049784272909164,0.449773997300989,394100,scene_095821f7_sam2_pi3x,evaluation/outputs/geometry/pi3x_sequence_under300/scene_095821f7_sam2_pi3x/095821f7-e2c2-2de1-9568-b9ce59920e29/metrics.json,0.3579902008364316,236959,0.6048490230905862,0.05,154202,0.09206632944966917,1.5170259150585084,51,095821f7-e2c2-2de1-9568-b9ce59920e29,visible_gt
0.05833738297224045,0.042341288179159164,0.14395287930965422,rgbd_correspondence,0.965393363690304,0.11721347050346777,0.0944351926445961,0.03609780967235565,0.019479813054203987,0.11502541825175286,0.6607480857591246,388627,scene_0958220d_sam2_pi3x,evaluation/outputs/geometry/pi3x_sequence_under300/scene_0958220d_sam2_pi3x/0958220d-e2c2-2de1-9710-c37018da1883/metrics.json,0.5722265306723473,101867,0.7816698273666008,0.05,137575,0.06897732587493374,0.30578289749445786,48,0958220d-e2c2-2de1-9710-c37018da1883,visible_gt
0.07335798442363739,0.04477420076727867,0.22996190935373279,rgbd_correspondence,0.9349765371922248,0.2846963993868175,0.11221380531787872,0.03885582089424133,0.017723873257637024,0.11411830224096775,0.6529430834669553,391486,scene_09582212_sam2_pi3x,evaluation/outputs/geometry/pi3x_sequence_under300/scene_09582212_sam2_pi3x/09582212-e2c2-2de1-9700-fa44b14fbded/metrics.json,0.5445544554455446,69387,0.8152015653177891,0.05,112598,0.04955640241531695,0.4257880116546985,40,09582212-e2c2-2de1-9700-fa44b14fbded,visible_gt
0.05597562715411186,0.04776469245553017,0.13496033549308767,rgbd_correspondence,0.6169650740877302,0.12475129804770027,0.0829097256064415,0.026934100314974785,0.012958121486008167,0.085006833076477,0.6396600007224015,380889,scene_09582225_sam2_pi3x,evaluation/outputs/geometry/pi3x_sequence_under300/scene_09582225_sam2_pi3x/09582225-e2c2-2de1-9564-f6681ef5e511/metrics.json,0.5209748150673903,105579,0.8283751959232217,0.05,123673,0.05493115035483109,0.257265143126018,41,09582225-e2c2-2de1-9564-f6681ef5e511,visible_gt
0.13837894797325134,0.0644109919667244,0.5803567469120026,rgbd_correspondence,1.076966570584958,0.24410705015602338,0.16835255920886993,0.02997361682355404,0.01938416250050068,0.08544730022549629,0.5600130223115451,395051,scene_09582244_sam2_pi3x,evaluation/outputs/geometry/pi3x_sequence_under300/scene_09582244_sam2_pi3x/09582244-e2c2-2de1-956c-357092d949d1/metrics.json,0.41581790806837304,101619,0.8573044999253261,0.05,153808,0.05164330424635981,0.3621780000922612,59,09582244-e2c2-2de1-956c-357092d949d1,visible_gt
0.04478710517287254,0.036198850721120834,0.11145645976066589,rgbd_correspondence,1.1144526647148834,0.11034931831148327,0.0809561088681221,0.03616900369524956,0.019916757941246033,0.1122913792729378,0.7253216648997783,390497,scene_0958224e_sam2_pi3x,evaluation/outputs/geometry/pi3x_sequence_under300/scene_0958224e_sam2_pi3x/0958224e-e2c2-2de1-943b-38e36345e2e7/metrics.json,0.641758537844938,44537,0.833903973654087,0.05,128419,0.059738056687454515,0.27187750688722023,46,0958224e-e2c2-2de1-943b-38e36345e2e7,visible_gt
0.21835778653621674,0.1865546703338623,0.5142810523509976,rgbd_correspondence,1.1265515199561211,0.9512807657520908,0.3380292057991028,0.11967141181230545,0.07870844751596451,0.35439878702163696,0.2083055744901885,384081,scene_0ad2d386_sam2_pi3x,evaluation/outputs/geometry/pi3x_sequence_under300/scene_0ad2d386_sam2_pi3x/0ad2d386-79e2-2212-9b40-43d081db442a/metrics.json,0.14514975099950903,142570,0.36875294534225855,0.05,63920,0.5347268534900913,1.3581522083425628,24,0ad2d386-79e2-2212-9b40-43d081db442a,visible_gt
0.15056253969669342,0.10814496874809265,0.4230532273650169,rgbd_correspondence,1.2894168180629517,0.17910115967940304,0.21547004580497742,0.0649075135588646,0.027596427127718925,0.25353799164295165,0.3708095223039977,395779,scene_0ad2d399_sam2_pi3x,evaluation/outputs/geometry/pi3x_sequence_under300/scene_0ad2d399_sam2_pi3x/0ad2d399-79e2-2212-99cf-7a3512734bd7/metrics.json,0.2558960826634733,278914,0.6730523852958343,0.05,187160,0.19391714832587395,0.7356757811588261,71,0ad2d399-79e2-2212-99cf-7a3512734bd7,visible_gt
0.1710970401763916,0.13023915886878967,0.4651872247457504,rgbd_correspondence,0.9596532376387067,0.7104657956284391,0.3127827048301697,0.14168567955493927,0.08062707632780075,0.4894089996814728,0.26635732695577585,398801,scene_0ad2d39b_sam2_pi3x,evaluation/outputs/geometry/pi3x_sequence_under300/scene_0ad2d39b_sam2_pi3x/0ad2d39b-79e2-2212-99ae-830c292cd079/metrics.json,0.20414911592785132,247378,0.3830933222333946,0.05,89913,0.24874310424304608,1.8422735218848552,33,0ad2d39b-79e2-2212-99ae-830c292cd079,visible_gt
0.14478562772274017,0.0845145508646965,0.5178313255310057,rgbd_correspondence,0.7857138782406898,0.2671760841446722,0.294914573431015,0.15012894570827484,0.05420937016606331,0.700443685054779,0.38432557274010204,393141,scene_0ad2d3a3_sam2_pi3x,evaluation/outputs/geometry/pi3x_sequence_under300/scene_0ad2d3a3_sam2_pi3x/0ad2d3a3-79e2-2212-9a51-9094be707ec2/metrics.json,0.3217460672738647,174243,0.47712652712385634,0.05,68255,0.14454947847129582,1.1976842189331618,25,0ad2d3a3-79e2-2212-9a51-9094be707ec2,visible_gt
0.18146732449531555,0.08762260526418686,0.6178039014339447,rgbd_correspondence,0.928253761446124,0.10448360477830604,0.23075798153877258,0.04929065331816673,0.017547832801938057,0.29371819496154766,0.46973486432147354,391385,scene_0cac7536_sam2_pi3x,evaluation/outputs/geometry/pi3x_sequence_under300/scene_0cac7536_sam2_pi3x/0cac7536-8d6f-2d13-8dc2-2f9d7aa62dc4/metrics.json,0.328859216977794,514366,0.8217560713875085,0.05,126008,0.07526373843117556,0.5778782609106364,55,0cac7536-8d6f-2d13-8dc2-2f9d7aa62dc4,visible_gt
0.3915136754512787,0.16622543334960938,1.3929731249809263,rgbd_correspondence,0.6114418078227712,0.09091285205123892,0.4861103594303131,0.09459668397903442,0.024036835879087448,0.480813494324684,0.3371462344931677,397515,scene_0cac753c_sam2_pi3x,evaluation/outputs/geometry/pi3x_sequence_under300/scene_0cac753c_sam2_pi3x/0cac753c-8d6f-2d13-8e27-e0664fc33bb9/metrics.json,0.22505166666666668,600000,0.671718048375533,0.05,106570,0.0951204446407623,2.93372669408439,59,0cac753c-8d6f-2d13-8e27-e0664fc33bb9,visible_gt
0.614469051361084,0.14610928297042847,2.9780017614364604,rgbd_correspondence,0.6465164227255619,0.3067622094989552,0.7113706469535828,0.09690161049365997,0.02362656407058239,0.4978948533534999,0.28499589951686227,396815,scene_0cac7540_sam2_pi3x,evaluation/outputs/geometry/pi3x_sequence_under300/scene_0cac7540_sam2_pi3x/0cac7540-8d6f-2d13-8eee-36ba2a428e3f/metrics.json,0.18098166666666668,600000,0.6701409976941396,0.05,135584,0.6667637526558802,2.9301266241498864,72,0cac7540-8d6f-2d13-8eee-36ba2a428e3f,visible_gt
