run_tag	dataset	scan	mode	n_gt	n_pred	gt_coverage	pred_purity	p@0.25	r@0.25	f1@0.25	miou@0.25	tp@0.25	fp@0.25	fn@0.25	p@0.5	r@0.5	f1@0.5	miou@0.5	tp@0.5	fp@0.5	fn@0.5	p@0.75	r@0.75	f1@0.75	miou@0.75	tp@0.75	fp@0.75	fn@0.75
2026-05-29_030346_1140063	3RScan	8f0f144b-55de-28ce-8053-2828b87a0cc9	all	11	10	0.547642	0.554471	0.800000	0.727273	0.761905	0.647427	8	2	3	0.500000	0.454545	0.476190	0.774774	5	5	6	0.300000	0.272727	0.285714	0.862748	3	7	8
2026-05-29_030346_1140063	3RScan	0958224e-e2c2-2de1-943b-38e36345e2e7	all	21	11	0.192944	0.307556	0.700000	0.333333	0.451613	0.368039	7	3	14	0.000000	0.000000	0.000000	0.000000	0	11	21	0.000000	0.000000	0.000000	0.000000	0	11	21
2026-05-29_030346_1140063	3RScan	09582225-e2c2-2de1-9564-f6681ef5e511	all	8	5	0.334726	0.438832	0.600000	0.375000	0.461538	0.626800	3	2	5	0.400000	0.250000	0.307692	0.769048	2	3	6	0.200000	0.125000	0.153846	0.908759	1	4	7
2026-05-29_030346_1140063	3RScan	0cac7627-8d6f-2d13-8eac-41764b5f2c5b	all	12	8	0.236941	0.392477	0.500000	0.333333	0.400000	0.579829	4	4	8	0.250000	0.166667	0.200000	0.780857	2	6	10	0.125000	0.083333	0.100000	0.945205	1	7	11
2026-05-29_030346_1140063	3RScan	8f0f1467-55de-28ce-8331-b670a7274af9	all	10	9	0.453242	0.471150	0.875000	0.700000	0.777778	0.592545	7	1	3	0.444444	0.400000	0.421053	0.716393	4	5	6	0.111111	0.100000	0.105263	0.957143	1	8	9
2026-05-29_030346_1140063	3RScan	0958220d-e2c2-2de1-9710-c37018da1883	all	17	16	0.332214	0.343346	0.666667	0.588235	0.625000	0.450939	10	5	7	0.125000	0.117647	0.121212	0.739138	2	14	15	0.062500	0.058824	0.060606	0.874636	1	15	16
2026-05-29_030346_1140063	3RScan	352e9c46-69fb-27a7-8b1d-bc83c253c676	all	8	6	0.483450	0.592328	0.833333	0.625000	0.714286	0.682964	5	1	3	0.833333	0.625000	0.714286	0.682964	5	1	3	0.333333	0.250000	0.285714	0.849206	2	4	6
2026-05-29_030346_1140063	3RScan	4d3d82a6-8cf4-2e04-828b-ceb5235b58a8	all	11	7	0.397350	0.537670	0.857143	0.545455	0.666667	0.567844	6	1	5	0.285714	0.181818	0.222222	0.925951	2	5	9	0.285714	0.181818	0.222222	0.925951	2	5	9
2026-05-29_030346_1140063	3RScan	b05fdd96-fca0-2d4f-88c3-d9dfda85c00e	all	15	11	0.343518	0.450965	0.727273	0.533333	0.615385	0.544960	8	3	7	0.454545	0.333333	0.384615	0.629553	5	6	10	0.090909	0.066667	0.076923	0.772656	1	10	14
2026-05-29_030346_1140063	3RScan	8f0f1437-55de-28ce-828e-dbf210a7f472	all	15	15	0.490573	0.505309	0.666667	0.666667	0.666667	0.622236	10	5	5	0.533333	0.533333	0.533333	0.681959	8	7	7	0.133333	0.133333	0.133333	0.893970	2	13	13
