run_tag	dataset	scan	mode	n_gt	n_pred	gt_coverage	pred_purity	p@0.25	r@0.25	f1@0.25	miou@0.25	tp@0.25	fp@0.25	fn@0.25	p@0.5	r@0.5	f1@0.5	miou@0.5	tp@0.5	fp@0.5	fn@0.5	p@0.75	r@0.75	f1@0.75	miou@0.75	tp@0.75	fp@0.75	fn@0.75
2026-05-31_183612_1547137	ScanNet	scene0013_01	all	6	11	0.890181	0.617153	0.750000	1.000000	0.857143	0.890181	6	2	0	0.666667	1.000000	0.800000	0.890181	6	3	0	0.555556	0.833333	0.666667	0.946729	5	4	1
2026-05-31_183612_1547137	ScanNet	scene0019_00	all	24	38	0.400062	0.288371	0.378378	0.583333	0.459016	0.616609	14	23	10	0.216216	0.333333	0.262295	0.783212	8	29	16	0.135135	0.208333	0.163934	0.912726	5	32	19
2026-05-31_183612_1547137	ScanNet	scene0019_01	all	28	39	0.382155	0.323248	0.424242	0.500000	0.459016	0.668898	14	19	14	0.314286	0.392857	0.349206	0.762444	11	24	17	0.166667	0.214286	0.187500	0.858615	6	30	22
2026-05-31_183612_1547137	ScanNet	scene0053_00	all	11	14	0.555821	0.468640	0.538462	0.636364	0.583333	0.806197	7	6	4	0.461538	0.545455	0.500000	0.863011	6	7	5	0.384615	0.454545	0.416667	0.924294	5	8	6
2026-05-31_183612_1547137	ScanNet	scene0077_00	all	23	34	0.519278	0.431089	0.592593	0.695652	0.640000	0.663006	16	11	7	0.392857	0.478261	0.431373	0.793758	11	17	12	0.166667	0.217391	0.188679	0.964343	5	25	18
2026-05-31_183612_1547137	ScanNet	scene0078_00	all	14	34	0.659602	0.324614	0.382353	0.928571	0.541667	0.700041	13	21	1	0.264706	0.642857	0.375000	0.822445	9	25	5	0.147059	0.357143	0.208333	0.951142	5	29	9
2026-05-31_183612_1547137	ScanNet	scene0079_01	all	19	16	0.320786	0.388038	0.533333	0.421053	0.470588	0.679001	8	7	11	0.400000	0.315789	0.352941	0.765962	6	9	13	0.266667	0.210526	0.235294	0.846941	4	11	15
2026-05-31_183612_1547137	ScanNet	scene0081_00	all	10	24	0.575996	0.335360	0.476190	1.000000	0.645161	0.575996	10	11	0	0.260870	0.600000	0.363636	0.707970	6	17	4	0.130435	0.300000	0.181818	0.866583	3	20	7
2026-05-31_183612_1547137	ScanNet	scene0090_00	all	20	27	0.447364	0.411332	0.500000	0.550000	0.523810	0.724650	11	11	9	0.434783	0.500000	0.465116	0.747460	10	13	10	0.217391	0.250000	0.232558	0.873761	5	18	15
2026-05-31_183612_1547137	ScanNet	scene0108_00	all	36	75	0.503192	0.294939	0.320000	0.666667	0.432432	0.684309	24	51	12	0.240000	0.500000	0.324324	0.789469	18	57	18	0.146667	0.305556	0.198198	0.908772	11	64	25
2026-05-31_183612_1547137	ScanNet	scene0117_00	all	43	48	0.535936	0.477432	0.659574	0.720930	0.688889	0.682623	31	16	12	0.416667	0.465116	0.439560	0.843968	20	28	23	0.270833	0.302326	0.285714	0.941592	13	35	30
2026-05-31_183612_1547137	ScanNet	scene0118_00	all	17	32	0.460051	0.281292	0.333333	0.588235	0.425532	0.688889	10	20	7	0.266667	0.470588	0.340426	0.786420	8	22	9	0.166667	0.294118	0.212766	0.888622	5	25	12
2026-05-31_183612_1547137	ScanNet	scene0118_01	all	18	22	0.502361	0.425885	0.571429	0.666667	0.615385	0.668699	12	9	6	0.428571	0.500000	0.461538	0.747098	9	12	9	0.238095	0.277778	0.256410	0.860007	5	16	13
2026-05-31_183612_1547137	ScanNet	scene0118_02	all	18	28	0.376160	0.266635	0.307692	0.444444	0.363636	0.672179	8	18	10	0.222222	0.333333	0.266667	0.762180	6	21	12	0.071429	0.111111	0.086957	0.923664	2	26	16
2026-05-31_183612_1547137	ScanNet	scene0120_01	all	22	25	0.417844	0.421581	0.590909	0.590909	0.590909	0.594235	13	9	9	0.318182	0.318182	0.318182	0.791896	7	15	15	0.181818	0.181818	0.181818	0.949989	4	18	18
